Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Session,Order pressed,Response type
S1,2017.08.10,66,17,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.3,131.0333,4006,4,1,FALSE,0,6,3,2,4006.03,,40,3,2,1,Testing,,
S1,2017.08.10,67,17,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.3666667,131.4,4006,4,1,FALSE,0,6,1,3,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,68,17,B,D,1,0,No Hint,Unknown,1,0,bl,0.3333333,131.7333,4006,4,1,FALSE,0,6,2,1,4006.02,,40,3,2,1,Testing,,
S1,2017.08.10,69,18,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.616667,137.3167,4006,4,1,FALSE,0,6,0,0,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,70,18,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.3833333,137.7,4006,4,1,FALSE,0,6,2,5,4006.03,,40,3,2,1,Testing,,
S1,2017.08.10,71,18,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.3833333,138.0833,4006,4,1,FALSE,0,6,3,2,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,72,18,B,D,1,0,No Hint,Unknown,1,0,bl,0.4333333,138.5167,4006,4,1,FALSE,0,6,5,3,4006.02,,40,3,2,1,Testing,,
S1,2017.08.10,73,19,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.183333,143.3833,4006,4,1,FALSE,0,6,0,0,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,74,19,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.35,143.7333,4006,4,1,FALSE,0,6,1,3,4006.03,,40,3,2,1,Testing,,
S1,2017.08.10,75,19,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.35,144.0833,4006,4,1,FALSE,0,6,5,1,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,76,19,B,D,1,0,No Hint,Unknown,1,0,bl,0.4,144.4833,4006,4,1,FALSE,0,6,3,5,4006.02,,40,3,2,1,Testing,,
S1,2017.08.10,77,20,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.033333,149.2,4006,4,1,FALSE,0,6,0,0,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,78,20,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.8666667,150.0667,4006,4,1,FALSE,0,6,4,2,4006.03,,40,3,2,1,Testing,,
