Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Test or Training,Order pressed,Response type,Age,TACL Vocab Raw,TACL Grammar Morph Raw ,TACL EPS RAW,TEMA RAW,FORWARDS DIGITS,STD ACC,EXCLUDE,Notes
k0467,2015.04.03,37,13,C,B,1,0,No Hint,Unknown,,bl,bl,2.083333,218.1333,4006,4,1,FALSE,0,6,2,0,4006.03,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,38,13,D,C,1,0,No Hint,Unknown,,bl,bl,1.366667,219.5,4006,4,1,FALSE,0,6,3,2,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,39,13,A,D,1,0,No Hint,Unknown,1,0,bl,0.8166667,220.3167,4006,4,1,FALSE,0,6,4,3,4006.01,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,44,16,A,A,1,0,No Hint,Unknown,,bl,bl,1.983333,283.2333,4006,4,1,FALSE,0,6,4,4,4006.01,,40,3,2,1,TEST,ACDB,Center Embedded,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,45,16,C,B,1,0,No Hint,Unknown,,bl,bl,2.683333,285.9167,4006,4,1,FALSE,0,6,2,1,4006.03,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,46,16,D,C,1,0,No Hint,Unknown,,bl,bl,1.8,287.7167,4006,4,1,FALSE,0,6,5,2,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,47,16,B,D,1,0,No Hint,Unknown,1,0,bl,1.066667,288.7833,4006,4,1,FALSE,0,6,1,5,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,48,17,C,A,1,0,No Hint,Unknown,,bl,bl,1.45,323.6667,4006,4,1,FALSE,0,6,1,0,4006.03,,40,3,2,1,TEST,CDBA,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,49,17,D,B,1,0,No Hint,Unknown,,bl,bl,4.5,328.1667,4006,4,1,FALSE,0,6,3,4,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,50,17,B,C,1,0,No Hint,Unknown,,bl,bl,2.35,330.5167,4006,4,1,FALSE,0,6,4,1,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,51,17,A,D,1,0,No Hint,Unknown,1,0,bl,1.533333,332.05,4006,4,1,FALSE,0,6,0,3,4006.01,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,58,20,C,A,1,0,No Hint,Unknown,,bl,bl,2.95,376.4667,4006,4,1,FALSE,0,6,2,1,4006.03,,40,3,2,1,TEST,CABD,Center Embedded,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,59,20,A,B,1,0,No Hint,Unknown,,bl,bl,2.783333,379.25,4006,4,1,FALSE,0,6,1,4,4006.01,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,60,20,B,C,1,0,No Hint,Unknown,,bl,bl,2.516667,381.7667,4006,4,1,FALSE,0,6,4,2,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,61,20,D,D,1,0,No Hint,Unknown,1,0,bl,1.083333,382.85,4006,4,1,FALSE,0,6,0,0,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,79,27,C,A,1,0,No Hint,Unknown,,bl,bl,3.166667,487.5,4006,4,1,FALSE,0,6,3,0,4006.03,,40,3,2,1,TEST,CADB,Crossed,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,80,27,A,B,1,0,No Hint,Unknown,,bl,bl,3.65,491.15,4006,4,1,FALSE,0,6,0,2,4006.01,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
